date,protocol,asset,chain,best_apy_base,tvl
2024-06-06,morpho-blue,GTUSDCCORE,Ethereum,29.4298,2213621
2024-06-07,morpho-blue,USDE,Ethereum,26.73127,1800949
2024-06-08,morpho-blue,USDE,Ethereum,209.1039,1769582
2024-06-09,morpho-blue,USDE,Ethereum,235.74235,1870103
2024-06-10,morpho-blue,USDE,Ethereum,38.47209,1867189
2024-06-11,morpho-blue,USDE,Ethereum,38.4666,24171
2024-06-12,morpho-blue,USDE,Ethereum,38.46361,1766763
2024-06-13,morpho-blue,SUSDE,Ethereum,72.03605,6582742
2024-06-14,morpho-blue,USDE,Ethereum,344.19009,1743044
2024-06-15,morpho-blue,USDE,Ethereum,43.56506,1777690
2024-06-16,morpho-blue,USDE,Ethereum,43.41084,1775127
2024-06-17,morpho-blue,USDE,Ethereum,43.25741,1779721
2024-06-18,morpho-blue,USDE,Ethereum,43.10484,1775073
2024-06-19,morpho-blue,USDE,Ethereum,42.95319,1781027
2024-06-20,morpho-blue,USDE,Ethereum,42.80223,1772393
2024-06-21,morpho-blue,USDE,Ethereum,42.65213,1779742
2024-06-22,morpho-blue,USDE,Ethereum,42.50286,1780868
2024-06-23,morpho-blue,USDE,Ethereum,21.34976,1881337
2024-06-24,morpho-blue,SUSDE,Ethereum,45.38397,5346260
2024-06-25,morpho-blue,USDE,Ethereum,34.1024,1787173
2024-06-26,morpho-blue,USDE,Ethereum,33.8869,1786445
2024-06-27,morpho-blue,USDE,Ethereum,33.6737,1787715
2024-06-28,morpho-blue,USDE,Ethereum,33.4629,1786048
2024-06-29,morpho-blue,USDE,Ethereum,33.2538,1785086
2024-06-30,morpho-blue,USDE,Ethereum,33.04675,1784423
2024-07-01,morpho-blue,USDE,Ethereum,32.84177,1781580
2024-07-02,morpho-blue,USDE,Ethereum,32.63883,1784120
2024-07-03,morpho-blue,USDE,Ethereum,32.438,1788204
2024-07-04,morpho-blue,USDE,Ethereum,32.23922,1785389
2024-07-05,morpho-blue,USDE,Ethereum,21.4817,1834659
2024-07-06,ethena-usde,SUSDE,Ethereum,15.68584,1526438590
2024-07-07,ethena-usde,SUSDE,Ethereum,15.70203,1524971504
2024-07-08,ethena-usde,SUSDE,Ethereum,15.71214,1524057880
2024-07-09,ethena-usde,SUSDE,Ethereum,15.71947,1523395682
2024-07-10,morpho-blue,USDE,Ethereum,22.15374,1784799
2024-07-11,morpho-blue,USDE,Ethereum,21.80038,1781948
2024-07-12,morpho-blue,USDE,Ethereum,21.66879,1789140
2024-07-13,morpho-blue,USDE,Ethereum,21.53828,1784608
2024-07-14,morpho-blue,USDE,Ethereum,21.40882,1785960
2024-07-15,morpho-blue,USDE,Ethereum,19.45391,1784358
2024-07-16,morpho-blue,USDE,Ethereum,169.11864,1731628
2024-07-17,morpho-blue,USDE,Ethereum,189.33081,1730666
2024-07-18,morpho-blue,USDE,Ethereum,226.99365,1730708
2024-07-19,morpho-blue,USDE,Ethereum,79.39938,1745329
2024-07-20,morpho-blue,USDE,Ethereum,81.59743,1750297
2024-07-21,morpho-blue,USDE,Ethereum,46.80941,1753868
2024-07-22,morpho-blue,USDE,Ethereum,47.01075,1753840
2024-07-23,morpho-blue,USDE,Ethereum,47.21332,1747751
2024-07-24,morpho-blue,USDE,Ethereum,47.78703,1756444
2024-07-25,morpho-blue,USDE,Ethereum,47.98914,1752901
2024-07-26,morpho-blue,USDE,Ethereum,48.19266,1750392
2024-07-27,morpho-blue,USUALUSDC+,Ethereum,20.38838,6028716
2024-07-28,aave-v3,USDC,Base,21.0856,2009958
2024-07-29,morpho-blue,USUALUSDC+,Ethereum,26.63577,11842309
2024-07-30,morpho-aave,USDT,Ethereum,14.96618,4378607
2024-07-31,morpho-blue,FXUSDC,Ethereum,28.34078,1402233
2024-08-01,morpho-blue,USDCRWA,Ethereum,17.57994,1307373
2024-08-02,aave-v3,USDC,Arbitrum,15.56937,592275
2024-08-03,morpho-blue,FXUSDC,Ethereum,33.90011,1398809
2024-08-04,morpho-blue,SUSDE,Ethereum,16.21201,2222808
2024-08-05,morpho-blue,USDCRWA,Ethereum,44.67632,1453324
2024-08-06,ethena-usde,SUSDE,Ethereum,14.82302,1405086787
2024-08-07,morpho-blue,SUSDE,Ethereum,21.94416,2244426
2024-08-08,morpho-blue,USUALUSDC+,Ethereum,30.42228,22001624
2024-08-09,morpho-blue,SUSDE,Ethereum,22.84451,2253899
2024-08-10,morpho-blue,SUSDE,Ethereum,23.36338,2246313
2024-08-11,aave-v3,USDE,Ethereum,13.56933,4175544
2024-08-12,morpho-blue,SUSDE,Ethereum,23.17266,1598775
2024-08-13,fluid-lending,USDT,Ethereum,13.19719,59739982
2024-08-14,fluid-lending,USDT,Ethereum,12.78394,61671121
2024-08-15,fluid-lending,USDT,Ethereum,12.5854,62769358
2024-08-16,fluid-lending,USDT,Ethereum,12.76453,61752303
2024-08-17,morpho-aave,USDC,Ethereum,19.89469,14764912
2024-08-18,morpho-aave,USDC,Ethereum,13.4333,15095621
2024-08-19,morpho-blue,SUSDE,Ethereum,16.89089,943414
2024-08-20,morpho-blue,SUSDE,Ethereum,17.62649,942440
2024-08-21,morpho-blue,SUSDE,Ethereum,18.00465,942411
2024-08-22,morpho-blue,SUSDE,Ethereum,18.4346,944786
2024-08-23,morpho-blue,SUSDE,Ethereum,18.85948,944575
2024-08-24,morpho-blue,SUSDE,Ethereum,19.24702,944578
2024-08-25,morpho-blue,SUSDE,Ethereum,19.64628,945078
2024-08-26,morpho-blue,SUSDE,Ethereum,22.44582,945221
2024-08-27,morpho-blue,SUSDE,Ethereum,22.97006,946490
2024-08-28,morpho-blue,SUSDE,Ethereum,23.51247,943048
2024-08-29,morpho-blue,SUSDE,Ethereum,24.07399,943245
2024-08-30,morpho-blue,SUSDE,Ethereum,24.65417,943921
2024-08-31,morpho-blue,SUSDE,Ethereum,13.23781,943794
2024-09-01,morpho-blue,SUSDE,Ethereum,13.23774,945593
2024-09-02,morpho-blue,SUSDE,Ethereum,27.91476,924675
2024-09-03,morpho-blue,SUSDE,Ethereum,28.58059,925075
2024-09-04,morpho-blue,SUSDE,Ethereum,29.2709,928850
2024-09-05,aave-v3,DAI,Polygon,58.66912,41863
2024-09-06,morpho-blue,SUSDE,Ethereum,35.20646,926311
2024-09-07,morpho-blue,SUSDE,Ethereum,35.8936,924048
2024-09-08,fluid-lending,USDT,Ethereum,8.55063,73613606
2024-09-09,aave-v3,DAI,Polygon,9.01511,977611
2024-09-10,morpho-blue,SUSDE,Ethereum,39.08692,924846
2024-09-11,morpho-blue,USDE,Ethereum,28.01785,1044227
2024-09-12,morpho-blue,USDE,Ethereum,30.71198,1045150
2024-09-13,morpho-blue,USDE,Ethereum,33.86991,1046424
2024-09-14,morpho-blue,USDE,Ethereum,37.37308,1048882
2024-09-15,morpho-blue,USDE,Ethereum,41.48467,1046581
2024-09-16,morpho-blue,USDE,Ethereum,46.2807,1046389
2024-09-17,morpho-blue,USDE,Ethereum,51.81373,1046259
2024-09-18,morpho-blue,USDE,Ethereum,58.64022,1046210
2024-09-19,morpho-blue,USDE,Ethereum,174.31275,1045817
2024-09-20,morpho-blue,SUSDE,Ethereum,34.25299,892652
2024-09-21,morpho-aave,USDT,Ethereum,14.63237,3645634
2024-09-22,morpho-aave,USDT,Ethereum,13.188,3645844
2024-09-23,morpho-blue,SUSDE,Ethereum,11.52081,915839
2024-09-24,morpho-blue,GTUSDC,Ethereum,20.23098,15313676
2024-09-25,morpho-blue,MC.EUSDC,Ethereum,16.85724,925473
2024-09-26,morpho-blue,USDE,Ethereum,15.61732,1010427
2024-09-27,morpho-blue,USDE,Ethereum,15.13443,1007919
2024-09-28,morpho-blue,USDE,Ethereum,119.61789,1009448
2024-09-29,morpho-blue,SUSDE,Ethereum,13.63206,854520
2024-09-30,morpho-blue,SUSDE,Ethereum,31.05841,819480
2024-10-01,aave-v3,USDC,Base,20.28668,2521925
2024-10-02,morpho-blue,SUSDE,Ethereum,15.16189,833984
2024-10-03,ethena-usde,SUSDE,Ethereum,11.39751,1095761073
2024-10-04,morpho-blue,SUSDE,Ethereum,11.25041,828531
2024-10-05,morpho-blue,PYTHUSDC,Base,12.32383,494408
2024-10-06,ethena-usde,SUSDE,Ethereum,10.88611,1125899297
2024-10-07,ethena-usde,SUSDE,Ethereum,10.90281,1124259042
2024-10-08,ethena-usde,SUSDE,Ethereum,10.79969,1134467486
2024-10-09,aave-v3,DAI,Polygon,12.7512,716398
2024-10-10,morpho-blue,USUALUSDC+,Ethereum,15.14027,57405391
2024-10-11,morpho-blue,USUALUSDC+,Ethereum,10.70112,59722272
2024-10-12,morpho-aave,USDC,Ethereum,10.156,4585182
2024-10-13,morpho-blue,STKCVXCRVUSDETHCRV-MORPHO,Ethereum,24.80166,91688
2024-10-14,morpho-aave,USDT,Ethereum,16.46445,2975082
2024-10-15,morpho-blue,STKCVXCRVUSDETHCRV-MORPHO,Ethereum,28.16834,93868
2024-10-16,morpho-blue,REUSDC,Ethereum,16.6929,1379863
2024-10-17,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,33.80289,21406
2024-10-18,morpho-aave,USDT,Ethereum,17.48966,2975466
2024-10-19,morpho-aave,USDT,Ethereum,17.50832,2981794
2024-10-20,morpho-aave,USDT,Ethereum,17.81765,2981864
2024-10-21,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,37.87192,21631
2024-10-22,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,40.51621,21458
2024-10-23,morpho-aave,USDC,Ethereum,29.15732,2513168
2024-10-24,morpho-aave,USDT,Ethereum,28.14526,2838145
2024-10-25,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,47.55501,21069
2024-10-26,morpho-aave,USDT,Ethereum,22.5332,2838318
2024-10-27,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,60.36914,21162
2024-10-28,morpho-aave,USDT,Ethereum,21.8322,2838505
2024-10-29,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,68.59589,22012
2024-10-30,morpho-blue,RE7USDT,Ethereum,19.93645,1370073
2024-10-31,morpho-blue,PT-SUSDE-27MAR2025,Ethereum,18.38821,152930841
2024-11-01,morpho-blue,PT-SUSDE-27MAR2025,Ethereum,16.24505,150299731
2024-11-02,morpho-blue,PT-SUSDE-27MAR2025,Ethereum,24.57871,148163276
2024-11-03,morpho-blue,PT-SUSDE-27MAR2025,Ethereum,13.62069,146560183
2024-11-04,morpho-blue,USUALUSDC+,Ethereum,14.14767,70049114
2024-11-05,morpho-blue,PT-SUSDE-27MAR2025,Ethereum,13.99953,130440322
2024-11-06,morpho-aave,USDT,Ethereum,92.14702,2847065
2024-11-07,morpho-aave,USDT,Ethereum,84.48688,2847520
2024-11-08,morpho-aave,USDT,Ethereum,59.17484,2847861
2024-11-09,morpho-aave,USDT,Ethereum,38.06328,2848117
2024-11-10,morpho-aave,USDT,Ethereum,31.21251,2848330
2024-11-11,morpho-aave,USDT,Ethereum,58.81447,2812951
2024-11-12,morpho-aave,USDT,Ethereum,54.58464,2813227
2024-11-13,morpho-aave,USDT,Ethereum,53.92555,2813526
2024-11-14,morpho-aave,USDT,Ethereum,62.68344,2813870
2024-11-15,morpho-aave,USDT,Ethereum,62.3906,2814178
2024-11-16,morpho-aave,USDT,Ethereum,57.52983,2814471
2024-11-17,morpho-aave,USDT,Ethereum,32.64487,2831094
2024-11-18,morpho-aave,USDT,Ethereum,44.05772,2833302
2024-11-19,morpho-blue,PYTHUSDC,Base,37.23901,630406
2024-11-20,morpho-aave,USDT,Ethereum,33.77799,2835453
2024-11-21,morpho-blue,RE7USDT,Ethereum,38.87242,1231797
2024-11-22,morpho-blue,GTDAICORE,Ethereum,35.65034,1157811
2024-11-23,ethena-usde,SUSDE,Ethereum,22.67978,2433924075
2024-11-24,morpho-aave,USDT,Ethereum,26.04457,2834806
2024-11-25,ethena-usde,SUSDE,Ethereum,21.95536,2506691559
2024-11-26,morpho-blue,RE7USDC,Base,21.76437,1351536
2024-11-27,aave-v3,DAI,Ethereum,59.32806,234763
2024-11-28,morpho-blue,RE7USDT,Ethereum,35.29684,1173381
2024-11-29,ethena-usde,SUSDE,Ethereum,28.20761,2876183189
2024-11-30,aave-v3,DAI,Ethereum,29.43219,7262179
2024-12-01,morpho-blue,USUALUSDC+,Ethereum,33.61409,72111005
2024-12-02,aave-v3,USDE,Ethereum,33.99875,1668433
2024-12-03,morpho-aave,USDT,Ethereum,35.74618,2837395
2024-12-04,morpho-aave,USDT,Ethereum,29.06145,2837531
2024-12-05,morpho-blue,USUALUSDC+,Ethereum,56.57043,83798132
2024-12-06,morpho-blue,RE7USDT,Ethereum,34.31453,1421740
2024-12-07,ethena-usde,SUSDE,Ethereum,26.11915,3568899456
2024-12-08,morpho-blue,UUSDC,Base,51.22642,311098
2024-12-09,morpho-blue,BBQUSDC,Ethereum,38.15937,106928
2024-12-10,morpho-blue,REUSDC,Ethereum,26.19525,11012428
2024-12-11,morpho-blue,USUALUSDC+,Ethereum,30.45706,160593605
2024-12-12,ethena-usde,SUSDE,Ethereum,27.08571,3875881637
2024-12-13,ethena-usde,SUSDE,Ethereum,26.92772,3896148759
2024-12-14,ethena-usde,SUSDE,Ethereum,26.81781,3910387771
2024-12-15,ethena-usde,SUSDE,Ethereum,26.72828,3922072828
2024-12-16,morpho-blue,BBQDAI,Ethereum,29.53846,41031
2024-12-17,morpho-blue,BBQDAI,Ethereum,26.91629,389797
2024-12-18,morpho-blue,BBQUSDC,Ethereum,43.47275,3241446
2024-12-19,morpho-blue,RE7USDT,Ethereum,32.43439,1723085
2024-12-20,morpho-aave,USDC,Ethereum,23.18629,1625446
2024-12-21,morpho-blue,REUSDC,Ethereum,25.98413,16592384
2024-12-22,morpho-aave,USDC,Ethereum,26.67729,1625535
2024-12-23,morpho-aave,USDC,Ethereum,27.60066,1625582
2024-12-24,morpho-aave,USDC,Ethereum,29.28916,1625629
2024-12-25,morpho-aave,USDC,Ethereum,29.75728,1630861
2024-12-26,morpho-blue,MC.EUSDC,Ethereum,32.9102,1090457
2024-12-27,morpho-aave,USDT,Ethereum,35.26014,2748687
2024-12-28,morpho-aave,USDT,Ethereum,33.69282,2750930
2024-12-29,morpho-blue,RE7USDT,Ethereum,41.44328,1559953
2024-12-30,morpho-blue,RE7USDT,Ethereum,42.32195,1545955
2024-12-31,morpho-blue,RE7USDT,Ethereum,30.64444,1905657
2025-01-01,morpho-aave,USDC,Ethereum,33.32342,1635702
2025-01-02,morpho-aave,USDC,Ethereum,28.3182,1637315
2025-01-03,morpho-aave,USDT,Ethereum,34.77091,2756470
2025-01-04,morpho-aave,USDT,Ethereum,107.01223,2756735
2025-01-05,morpho-aave,USDT,Ethereum,95.58254,2757156
2025-01-06,morpho-aave,USDT,Ethereum,100.54762,2757491
2025-01-07,morpho-aave,USDT,Ethereum,68.02157,2757839
2025-01-08,morpho-aave,USDT,Ethereum,64.78513,2758190
2025-01-09,morpho-aave,USDT,Ethereum,63.49015,2758464
2025-01-10,morpho-blue,USUALUSDC+,Ethereum,60.66439,580738180
2025-01-11,morpho-aave,USDT,Ethereum,49.71418,2790026
2025-01-12,morpho-aave,USDT,Ethereum,48.61855,2790267
2025-01-13,morpho-aave,USDT,Ethereum,38.62096,2794173
2025-01-14,morpho-aave,USDT,Ethereum,39.40881,2794331
2025-01-15,morpho-aave,USDT,Ethereum,52.02034,2794582
2025-01-16,morpho-aave,USDT,Ethereum,49.72716,2794835
2025-01-17,morpho-aave,USDT,Ethereum,60.26996,2795129
2025-01-18,morpho-aave,USDT,Ethereum,37.82257,2795387
2025-01-19,morpho-blue,HUSDC,Ethereum,29.11608,8609
2025-01-20,morpho-aave,USDT,Ethereum,102.39875,2795729
2025-01-21,morpho-aave,USDT,Ethereum,104.19005,2796197
2025-01-22,morpho-aave,USDT,Ethereum,92.19669,2796645
2025-01-23,morpho-aave,USDT,Ethereum,130.53684,2183626
2025-01-24,morpho-aave,USDT,Ethereum,130.56761,2183792
2025-01-25,morpho-aave,USDT,Ethereum,110.55224,2194443
2025-01-26,morpho-aave,USDT,Ethereum,78.72435,2194561
2025-01-27,morpho-aave,USDT,Ethereum,93.7849,2194687
2025-01-28,morpho-aave,USDT,Ethereum,90.26461,2194801
2025-01-29,morpho-aave,USDT,Ethereum,33.03059,2194862
2025-01-30,morpho-aave,USDT,Ethereum,21.17507,2194919
2025-01-31,morpho-aave,USDT,Ethereum,29.11122,2194961
2025-02-01,morpho-aave,USDT,Ethereum,29.99834,2194997
2025-02-02,morpho-blue,HUSDC,Ethereum,29.0173,13252749
2025-02-03,morpho-aave,USDT,Ethereum,61.74747,2195124
2025-02-04,morpho-aave,USDT,Ethereum,48.49995,2215050
2025-02-05,morpho-blue,MC.EUSDC,Ethereum,28.93044,1220120
2025-02-06,morpho-blue,HUSDC,Ethereum,19.52289,20392713
2025-02-07,morpho-blue,PYTHUSDC,Base,17.11133,380942
2025-02-08,morpho-blue,RE7USDT,Ethereum,16.85868,749567
2025-02-09,morpho-blue,BBQUSDT,Ethereum,37.56536,2588925
2025-02-10,morpho-blue,BBQDAI,Ethereum,33.06233,202074
2025-02-11,morpho-blue,BBQUSDT,Ethereum,33.51374,2872473
2025-02-12,morpho-aave,USDT,Ethereum,15.87334,2218469
2025-02-13,morpho-blue,FXUSDC,Ethereum,21.33393,542377
2025-02-14,morpho-aave,USDT,Ethereum,16.1434,2218523
2025-02-15,morpho-aave,USDT,Ethereum,16.21993,2218546
2025-02-16,morpho-aave,USDT,Ethereum,16.33219,2224269
2025-02-17,morpho-blue,RE7USDC,Base,15.74923,3628023
2025-02-18,morpho-blue,FXUSDC,Ethereum,23.84175,569300
2025-02-19,morpho-blue,ELIXIRUSDC,Ethereum,25.1297,204051
2025-02-20,morpho-aave,USDT,Ethereum,28.26018,1927709
2025-02-21,aave-v3,USDE,Ethereum,19.9296,5571664
2025-02-22,morpho-aave,USDC,Ethereum,18.16593,1117022
2025-02-23,morpho-aave,USDC,Ethereum,16.33368,1117024
2025-02-24,morpho-blue,FXUSDC,Ethereum,28.75004,453328
2025-02-25,morpho-blue,HUSDC,Ethereum,25.01839,28647375
2025-02-26,morpho-blue,HUSDC,Ethereum,31.2023,26085723
2025-02-27,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,15.82974,2673
2025-02-28,morpho-blue,STEAKUSDCRWA,Base,17.46267,546267
2025-03-01,morpho-blue,APRUSDC,Base,17.60978,1202091
2025-03-02,morpho-blue,PYTHUSDC,Base,12.45816,244324
2025-03-03,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,126.52047,12268
2025-03-04,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,79.30907,23862
2025-03-05,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,134.57504,23876
2025-03-06,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,181.05739,23892
2025-03-07,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,135.86037,23958
2025-03-08,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,11.62492,23949
2025-03-09,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,11.6438,23974
2025-03-10,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,19.4565,33453
2025-03-11,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,19.00705,33424
2025-03-12,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,18.74972,33477
2025-03-13,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,19.35613,33490
2025-03-14,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,11.07263,34582
2025-03-15,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,11.07263,34582
2025-03-16,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,11.07263,34582
2025-03-17,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,11.07432,34582
2025-03-18,morpho-blue,ELIXIRUSDC,Ethereum,9.3221,204820
2025-03-19,morpho-blue,COUSDC,Base,12.31006,32815
2025-03-20,morpho-blue,HYPERUSDC,Ethereum,50.05248,999983
2025-03-21,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,26.93155,32142
2025-03-22,morpho-blue,APRUSDE,Ethereum,59.3982,426925
2025-03-23,morpho-blue,COUSDC,Base,36.68343,164477
2025-03-24,morpho-blue,STEAKUSDC,Base,15.43314,4023758
2025-03-25,morpho-blue,YMVOG-USDC,Base,11.27428,1104
2025-03-26,morpho-aave,USDT,Ethereum,10.01408,47535
2025-03-27,morpho-aave,USDT,Ethereum,11.27583,47536
2025-03-28,morpho-blue,YMVOG-USDC,Base,13.47616,1305
2025-03-29,morpho-blue,YMVOG-USDC,Base,68.37,1306
2025-03-30,ethena-usde,SUSDE,Ethereum,10.76762,1942910487
2025-03-31,morpho-blue,MC.EUSDC,Ethereum,13.47886,207363
2025-04-01,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,32.10458,32480
2025-04-02,morpho-blue,COUSDC,Base,21.07219,1127317
2025-04-03,morpho-blue,EXMUSDC,Base,12.16798,2560810
2025-04-04,morpho-blue,RE7USDCP,Ethereum,10.12607,99983
2025-04-05,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,383.35653,39592
2025-04-06,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,392.25754,39519
2025-04-07,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,395.11845,39622
2025-04-08,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,402.73933,39966
2025-04-09,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,147.34339,39993
2025-04-10,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,156.66059,42011
2025-04-11,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,138.6007,42045
2025-04-12,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,19.05165,42068
2025-04-13,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,38.74292,42096
2025-04-14,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,11.35623,41117
2025-04-15,morpho-blue,MC.EUSDC,Ethereum,14.21526,207341
2025-04-16,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,18.70996,41148
2025-04-17,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,25.12337,44856
2025-04-18,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,11.56165,43478
2025-04-19,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,18.70965,43494
2025-04-20,morpho-blue,MC.EUSDC,Ethereum,13.94785,216316
2025-04-21,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,13.47661,43517
2025-04-22,morpho-blue,APRUSDE,Ethereum,27.6739,4016603
2025-04-23,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,72.61064,5031
2025-04-24,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,41.75603,5036
2025-04-25,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,43.60743,5040
2025-04-26,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,33.5504,5046
2025-04-27,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,160.18925,5050
2025-04-28,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,197.20311,5065
2025-04-29,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,83.48599,5079
2025-04-30,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,69.65856,5087
2025-05-01,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,27.37283,5094
2025-05-02,morpho-blue,MC.EUSDC,Ethereum,27.64878,208805
2025-05-03,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,26.40404,5101
2025-05-04,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,47.33939,5108
2025-05-05,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,25.12402,5111
2025-05-06,morpho-aave,USDT,Ethereum,17.7121,41538
2025-05-07,morpho-aave,USDT,Ethereum,16.53153,41539
2025-05-08,morpho-aave,USDT,Ethereum,18.49277,41541
2025-05-09,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,45.84378,5123
2025-05-10,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,55.52017,5128
2025-05-11,morpho-blue,RESOLVUSDC,Ethereum,13.23233,19021358
2025-05-12,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,27.73372,57192
2025-05-13,morpho-blue,APRUSDE,Ethereum,40.76597,3324100
2025-05-14,euler-v2,USDS,Base,29.69764,62215
2025-05-15,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,14.26457,57254
2025-05-16,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,16.1669,57279
2025-05-17,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,15.26616,57283
2025-05-18,euler-v2,USDT,Avalanche,9.3014,3799005
2025-05-19,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,20.51197,57331
2025-05-20,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,11.12455,57350
2025-05-21,morpho-blue,APRUSDE,Ethereum,37.11201,2561471
2025-05-22,euler-v2,USDC,Ethereum,26.63461,11859
2025-05-23,euler-v2,USDT,Avalanche,14.96101,3286976
2025-05-24,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,15.55328,57419
2025-05-25,morpho-blue,STEAKUSDCLEVEL,Ethereum,10.09878,4036836
2025-05-26,euler-v2,USDT,Avalanche,9.36465,4221602
2025-05-27,euler-v2,USDT,Avalanche,12.60655,3597248
2025-05-28,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,19.0273,57493
2025-05-29,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,18.73714,57516
2025-05-30,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,14.0917,57543
2025-05-31,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,13.82024,57558
2025-06-01,morpho-aave,USDT,Ethereum,14.28886,41394
2025-06-02,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,23.30199,57598
2025-06-03,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,17.63943,57624
2025-06-04,morpho-blue,LUMENUSDC,Base,19.45611,10028
