date,protocol,asset,chain,best_apy_reward,tvl
2024-06-06,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,22.95503,297043
2024-06-07,morpho-blue,STKCVXCRVUSDETHCRV-MORPHO,Ethereum,228.44383,39948
2024-06-08,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,217.3337,21180
2024-06-09,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,71.55699,194675
2024-06-10,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,64.16476,207639
2024-06-11,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,81.70097,191424
2024-06-12,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,66.94816,236134
2024-06-13,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,81.82981,155511
2024-06-14,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,49.19609,245870
2024-06-15,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,50.42829,270473
2024-06-16,morpho-blue,STKCVXCRVUSDETHCRV-MORPHO,Ethereum,48.78126,147990
2024-06-17,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,55.99872,249680
2024-06-18,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,58.13289,249966
2024-06-19,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,57.32926,249933
2024-06-20,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,37.91934,337953
2024-06-21,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,32.49682,383445
2024-06-22,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,33.11634,383442
2024-06-23,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,29.05038,441456
2024-06-24,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,24.16154,597648
2024-06-25,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,23.97463,598106
2024-06-26,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,23.67108,551413
2024-06-27,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,15.86016,753883
2024-06-28,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,14.94493,753950
2024-06-29,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,15.01878,752963
2024-06-30,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,15.13464,753305
2024-07-01,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,15.21775,753321
2024-07-02,morpho-blue,RE7USDC,Base,15.19709,1130297
2024-07-03,morpho-blue,FXUSDC,Ethereum,49.16416,232234
2024-07-04,morpho-blue,FXUSDC,Ethereum,26.79121,372889
2024-07-05,morpho-blue,RE7USDC,Base,14.63794,849309
2024-07-06,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,16.03967,675508
2024-07-07,morpho-blue,GTUSDCC,Base,12.56316,2755721
2024-07-08,morpho-blue,FXUSDC,Ethereum,13.92186,630278
2024-07-09,morpho-blue,FXUSDC,Ethereum,13.03416,636976
2024-07-10,morpho-blue,GTUSDCC,Base,8.64932,4464180
2024-07-11,morpho-blue,FXUSDC,Ethereum,9.85382,828480
2024-07-12,morpho-blue,FXUSDC,Ethereum,10.28541,794872
2024-07-13,morpho-blue,GTUSDCC,Base,6.79618,6405342
2024-07-14,morpho-blue,FXUSDC,Ethereum,9.9068,818901
2024-07-15,morpho-blue,GTUSDCC,Base,6.50022,7033169
2024-07-16,morpho-blue,FXUSDC,Ethereum,7.21639,1261262
2024-07-17,morpho-blue,RE7USDC,Base,11.3361,566491
2024-07-18,morpho-blue,GTUSDCP,Base,12.62776,371134
2024-07-19,aave-v2,DAI.E,Avalanche,0.0,725725
2024-07-20,morpho-blue,FXUSDC,Ethereum,4.3227,2198558
2024-07-21,morpho-blue,FXUSDC,Ethereum,4.60791,2072805
2024-07-22,morpho-blue,FXUSDC,Ethereum,3.8366,1913065
2024-07-23,morpho-blue,FXUSDC,Ethereum,3.49268,1877432
2024-07-24,morpho-blue,GTEUSDC,Ethereum,49.22952,1371206
2024-07-25,morpho-blue,GTEUSDC,Ethereum,38.91271,1635273
2024-07-26,morpho-blue,FXUSDC,Ethereum,4.46253,1800294
2024-07-27,morpho-blue,GTEUSDC,Ethereum,23.98016,2688555
2024-07-28,morpho-blue,FXUSDC,Ethereum,4.48802,1823049
2024-07-29,morpho-blue,FXUSDC,Ethereum,4.98661,1508083
2024-07-30,morpho-blue,GTEUSDC,Ethereum,21.03359,2976259
2024-07-31,morpho-blue,GTEUSDC,Ethereum,20.65049,2976864
2024-08-01,morpho-blue,GTEUSDC,Ethereum,17.31056,3477697
2024-08-02,morpho-blue,GTEUSDC,Ethereum,15.99358,3460852
2024-08-03,morpho-blue,GTEUSDC,Ethereum,15.31487,3399328
2024-08-04,morpho-blue,GTEUSDC,Ethereum,13.78753,3628427
2024-08-05,morpho-blue,GTEUSDC,Ethereum,26.16353,1705206
2024-08-06,morpho-blue,GTEUSDC,Ethereum,17.14677,2597732
2024-08-07,morpho-blue,GTEUSDC,Ethereum,15.9878,2634190
2024-08-08,morpho-blue,GTEUSDC,Ethereum,14.87019,3355725
2024-08-09,morpho-blue,GTEUSDC,Ethereum,14.89607,3314530
2024-08-10,morpho-blue,GTEUSDC,Ethereum,13.63409,3630342
2024-08-11,morpho-blue,GTEUSDC,Ethereum,13.11418,3558227
2024-08-12,morpho-blue,GTEUSDC,Ethereum,13.42191,3646673
2024-08-13,morpho-blue,GTEUSDC,Ethereum,13.53868,3716039
2024-08-14,aave-v2,DAI.E,Avalanche,0.0,1228123
2024-08-15,morpho-blue,GTEUSDC,Ethereum,12.7622,3644496
2024-08-16,morpho-blue,GTEUSDC,Ethereum,12.83054,4006463
2024-08-17,morpho-blue,GTEUSDC,Ethereum,13.81733,4163239
2024-08-18,morpho-blue,GTEUSDC,Ethereum,14.0616,4268515
2024-08-19,morpho-blue,GTEUSDC,Ethereum,13.88797,4267927
2024-08-20,morpho-blue,GTEUSDC,Ethereum,15.39942,4313066
2024-08-21,aave-v2,DAI.E,Avalanche,0.0,1275810
2024-08-22,morpho-blue,GTUSDCCORE,Ethereum,1.4137,36810961
2024-08-23,morpho-blue,GTUSDCCORE,Ethereum,1.53469,36585837
2024-08-24,morpho-blue,GTEUSDC,Ethereum,15.91344,5181928
2024-08-25,morpho-blue,GTEUSDC,Ethereum,15.81798,5183959
2024-08-26,morpho-blue,GTEUSDC,Ethereum,14.99,5501720
2024-08-27,morpho-blue,GTEUSDC,Ethereum,14.37818,5679321
2024-08-28,morpho-blue,GTEUSDC,Ethereum,12.11768,6800086
2024-08-29,morpho-blue,GTEUSDC,Ethereum,12.11714,6794734
2024-08-30,morpho-blue,GTEUSDC,Ethereum,12.11499,6797253
2024-08-31,morpho-blue,GTEUSDC,Ethereum,12.09859,6803285
2024-09-01,morpho-blue,GTEUSDC,Ethereum,10.88858,7546194
2024-09-02,morpho-blue,GTEUSDC,Ethereum,10.78485,7630157
2024-09-03,morpho-blue,GTEUSDC,Ethereum,10.38444,7897658
2024-09-04,morpho-blue,GTEUSDC,Ethereum,10.95128,7502255
2024-09-05,morpho-blue,GTEUSDC,Ethereum,9.48602,7479948
2024-09-06,morpho-blue,GTEUSDC,Ethereum,11.42152,6280369
2024-09-07,morpho-blue,STEAKUSDCRWA,Base,4.05662,1860334
2024-09-08,aave-v2,DAI.E,Avalanche,0.0,1256170
2024-09-09,aave-v2,DAI.E,Avalanche,0.0,1258656
2024-09-10,aave-v2,DAI.E,Avalanche,0.0,1260051
2024-09-11,aave-v2,DAI.E,Avalanche,0.0,1263514
2024-09-12,aave-v2,DAI.E,Avalanche,0.0,1263258
2024-09-13,aave-v2,DAI.E,Avalanche,0.0,1263258
2024-09-14,aave-v2,DAI.E,Avalanche,0.0,1287042
2024-09-15,aave-v2,DAI.E,Avalanche,0.0,1293662
2024-09-16,aave-v2,DAI.E,Avalanche,0.0,1294383
2024-09-17,aave-v2,DAI.E,Avalanche,0.0,1310437
2024-09-18,aave-v2,DAI.E,Avalanche,0.0,1307536
2024-09-19,aave-v2,DAI.E,Avalanche,0.0,1306409
2024-09-20,aave-v2,DAI.E,Avalanche,0.0,1318920
2024-09-21,aave-v2,DAI.E,Avalanche,0.0,1319291
2024-09-22,aave-v2,DAI.E,Avalanche,0.0,1321930
2024-09-23,aave-v2,DAI.E,Avalanche,0.0,1324456
2024-09-24,aave-v2,DAI.E,Avalanche,0.0,1330397
2024-09-25,aave-v2,DAI.E,Avalanche,0.0,1329088
2024-09-26,aave-v2,DAI.E,Avalanche,0.0,1343527
2024-09-27,aave-v2,DAI.E,Avalanche,0.0,1376296
2024-09-28,aave-v2,DAI.E,Avalanche,0.0,1376122
2024-09-29,aave-v2,DAI.E,Avalanche,0.0,1377454
2024-09-30,aave-v2,DAI.E,Avalanche,0.0,1372627
2024-10-01,aave-v2,DAI.E,Avalanche,0.0,1376837
2024-10-02,aave-v2,DAI.E,Avalanche,0.0,1386057
2024-10-03,aave-v2,DAI.E,Avalanche,0.0,1465681
2024-10-04,aave-v2,DAI.E,Avalanche,0.0,1464538
2024-10-05,aave-v2,DAI.E,Avalanche,0.0,1455192
2024-10-06,aave-v2,DAI.E,Avalanche,0.0,1459192
2024-10-07,aave-v2,DAI.E,Avalanche,0.0,1452344
2024-10-08,aave-v2,DAI.E,Avalanche,0.0,1457911
2024-10-09,aave-v2,DAI.E,Avalanche,0.0,1458667
2024-10-10,aave-v2,DAI.E,Avalanche,0.0,1476275
2024-10-11,aave-v2,DAI.E,Avalanche,0.0,1476696
2024-10-12,aave-v2,DAI.E,Avalanche,0.0,1476373
2024-10-13,aave-v2,DAI.E,Avalanche,0.0,1491826
2024-10-14,aave-v2,DAI.E,Avalanche,0.0,1484464
2024-10-15,fluid-lending,USDC,Base,6.2,9814496
2024-10-16,fluid-lending,USDC,Base,7.07,8604807
2024-10-17,fluid-lending,USDC,Base,6.63,9173857
2024-10-18,fluid-lending,USDC,Base,6.38,9527741
2024-10-19,fluid-lending,USDC,Base,6.73,9044695
2024-10-20,fluid-lending,USDC,Base,6.72,9048409
2024-10-21,fluid-lending,USDC,Base,6.88,8841146
2024-10-22,fluid-lending,USDC,Base,7.09,8581712
2024-10-23,fluid-lending,USDC,Base,6.85,8881053
2024-10-24,fluid-lending,USDC,Base,6.23,9754698
2024-10-25,fluid-lending,USDC,Base,6.59,9190094
2024-10-26,fluid-lending,USDC,Base,6.67,9121667
2024-10-27,fluid-lending,USDC,Base,7.48,8131782
2024-10-28,fluid-lending,USDC,Base,7.33,8309274
2024-10-29,fluid-lending,USDC,Base,7.19,8453955
2024-10-30,fluid-lending,USDC,Base,6.98,8712245
2024-10-31,fluid-lending,USDC,Base,6.34,9589055
2024-11-01,fluid-lending,USDC,Base,6.54,9295443
2024-11-02,fluid-lending,USDC,Base,6.66,9133126
2024-11-03,fluid-lending,USDC,Base,7.33,8283806
2024-11-04,fluid-lending,USDC,Base,6.66,9141438
2024-11-05,fluid-lending,USDC,Base,6.63,9187399
2024-11-06,fluid-lending,USDC,Base,6.81,8921246
2024-11-07,fluid-lending,USDC,Base,6.69,9090138
2024-11-08,fluid-lending,USDC,Base,6.45,9426137
2024-11-09,fluid-lending,USDC,Base,5.8,10481415
2024-11-10,fluid-lending,USDC,Base,5.59,10894713
2024-11-11,fluid-lending,USDC,Base,5.82,10508189
2024-11-12,fluid-lending,USDC,Base,5.82,10451292
2024-11-13,fluid-lending,USDC,Base,5.42,11221035
2024-11-14,fluid-lending,USDC,Base,5.13,11843475
2024-11-15,fluid-lending,USDC,Base,5.51,11042263
2024-11-16,fluid-lending,USDC,Base,5.09,11939693
2024-11-17,fluid-lending,USDC,Base,5.23,11641885
2024-11-18,fluid-lending,USDC,Base,5.09,11940475
2024-11-19,fluid-lending,USDC,Base,5.41,11239934
2024-11-20,fluid-lending,USDC,Base,5.19,11711206
2024-11-21,fluid-lending,USDT,Ethereum,6.39,95338602
2024-11-22,fluid-lending,USDT,Ethereum,6.38,95410031
2024-11-23,fluid-lending,USDT,Ethereum,5.95,102346856
2024-11-24,fluid-lending,USDT,Ethereum,6.06,100643222
2024-11-25,fluid-lending,USDT,Ethereum,6.04,101145808
2024-11-26,fluid-lending,USDT,Ethereum,6.13,98967173
2024-11-27,fluid-lending,USDT,Ethereum,6.04,100810557
2024-11-28,fluid-lending,USDT,Ethereum,5.83,104372208
2024-11-29,fluid-lending,USDT,Ethereum,5.94,102457568
2024-11-30,fluid-lending,USDT,Ethereum,5.69,107023707
2024-12-01,fluid-lending,USDT,Ethereum,5.69,107008754
2024-12-02,fluid-lending,USDT,Ethereum,5.77,105510858
2024-12-03,fluid-lending,USDT,Ethereum,5.92,102956879
2024-12-04,fluid-lending,USDT,Ethereum,5.9,103328667
2024-12-05,fluid-lending,USDT,Ethereum,6.14,99427576
2024-12-06,fluid-lending,USDT,Ethereum,6.01,101382163
2024-12-07,fluid-lending,USDT,Ethereum,5.88,103392869
2024-12-08,fluid-lending,USDT,Ethereum,5.88,103533940
2024-12-09,fluid-lending,USDT,Ethereum,5.65,107633804
2024-12-10,fluid-lending,USDT,Ethereum,5.35,113875019
2024-12-11,fluid-lending,USDT,Ethereum,5.36,113581744
2024-12-12,fluid-lending,USDT,Ethereum,5.19,117123230
2024-12-13,fluid-lending,USDT,Ethereum,4.96,122654551
2024-12-14,fluid-lending,USDT,Ethereum,4.97,122412277
2024-12-15,fluid-lending,USDT,Ethereum,4.81,126529286
2024-12-16,fluid-lending,USDT,Ethereum,4.64,130911284
2024-12-17,fluid-lending,USDT,Ethereum,4.41,137742515
2024-12-18,fluid-lending,USDT,Ethereum,4.51,134775351
2024-12-19,fluid-lending,USDT,Ethereum,4.36,139401648
2024-12-20,fluid-lending,USDT,Ethereum,4.28,141971526
2024-12-21,fluid-lending,USDT,Ethereum,4.06,149699799
2024-12-22,fluid-lending,USDT,Ethereum,4.06,149887627
2024-12-23,fluid-lending,USDC,Arbitrum,7.07,8627758
2024-12-24,fluid-lending,USDC,Arbitrum,7.07,8606631
2024-12-25,fluid-lending,USDC,Arbitrum,6.68,9096588
2024-12-26,fluid-lending,USDC,Arbitrum,6.5,9360894
2024-12-27,fluid-lending,USDC,Arbitrum,6.8,8944439
2024-12-28,fluid-lending,USDC,Arbitrum,6.81,8938677
2024-12-29,fluid-lending,USDC,Arbitrum,6.89,8804269
2024-12-30,fluid-lending,USDC,Arbitrum,6.53,9317021
2024-12-31,fluid-lending,USDC,Arbitrum,6.47,9400367
2025-01-01,fluid-lending,USDC,Arbitrum,6.38,9534635
2025-01-02,fluid-lending,USDC,Arbitrum,6.29,9669918
2025-01-03,fluid-lending,USDC,Arbitrum,6.74,9026589
2025-01-04,fluid-lending,USDC,Arbitrum,6.53,9312837
2025-01-05,fluid-lending,USDC,Arbitrum,6.31,9653510
2025-01-06,fluid-lending,USDC,Arbitrum,6.06,10039755
2025-01-07,fluid-lending,USDC,Arbitrum,6.09,9992276
2025-01-08,fluid-lending,USDC,Arbitrum,5.52,11031116
2025-01-09,fluid-lending,USDC,Arbitrum,5.99,10157533
2025-01-10,fluid-lending,USDC,Arbitrum,6.5,9365614
2025-01-11,fluid-lending,USDC,Arbitrum,6.4,9500424
2025-01-12,fluid-lending,USDC,Arbitrum,6.31,9645113
2025-01-13,fluid-lending,USDC,Arbitrum,4.83,12603013
2025-01-14,fluid-lending,USDC,Arbitrum,4.96,12272611
2025-01-15,fluid-lending,USDC,Arbitrum,4.92,12375836
2025-01-16,fluid-lending,USDC,Arbitrum,4.83,12591453
2025-01-17,fluid-lending,USDC,Arbitrum,4.64,13111519
2025-01-18,fluid-lending,USDC,Arbitrum,5.02,12126159
2025-01-19,fluid-lending,USDC,Arbitrum,5.17,11764094
2025-01-20,fluid-lending,USDC,Arbitrum,5.15,11823046
2025-01-21,fluid-lending,USDC,Arbitrum,4.9,12415631
2025-01-22,fluid-lending,USDC,Arbitrum,4.84,12559663
2025-01-23,fluid-lending,USDC,Arbitrum,4.81,12641197
2025-01-24,morpho-blue,GTEUSDC,Ethereum,14.36097,6455777
2025-01-25,morpho-blue,GTEUSDC,Ethereum,13.31926,6656979
2025-01-26,morpho-blue,GTEUSDC,Ethereum,13.33569,6663195
2025-01-27,morpho-blue,GTEUSDC,Ethereum,13.31775,6663581
2025-01-28,morpho-blue,GTEUSDC,Ethereum,14.29125,6327558
2025-01-29,morpho-blue,GTEUSDC,Ethereum,13.94366,6712369
2025-01-30,morpho-blue,GTEUSDC,Ethereum,14.58057,6247670
2025-01-31,morpho-blue,GTEUSDC,Ethereum,13.66353,5822713
2025-02-01,morpho-blue,GTEUSDC,Ethereum,13.82473,5866283
2025-02-02,morpho-blue,GTEUSDC,Ethereum,12.20553,6569183
2025-02-03,morpho-blue,GTEUSDC,Ethereum,12.15528,6779170
2025-02-04,morpho-blue,GTEUSDC,Ethereum,11.88776,6760214
2025-02-05,morpho-blue,GTEUSDC,Ethereum,13.65944,5751340
2025-02-06,morpho-blue,GTEUSDC,Ethereum,9.68863,8124792
2025-02-07,morpho-blue,GTEUSDC,Ethereum,10.14258,8124794
2025-02-08,morpho-blue,GTEUSDC,Ethereum,11.00167,7602414
2025-02-09,morpho-blue,GTEUSDC,Ethereum,10.67217,7834516
2025-02-10,morpho-blue,GTEUSDC,Ethereum,11.4594,7298644
2025-02-11,morpho-blue,GTEUSDC,Ethereum,11.29997,7298489
2025-02-12,morpho-blue,GTEUSDC,Ethereum,10.39499,7295342
2025-02-13,morpho-blue,GTEUSDC,Ethereum,11.32096,7299919
2025-02-14,morpho-blue,GTEUSDC,Ethereum,11.39832,7294356
2025-02-15,morpho-blue,GTEUSDC,Ethereum,11.38352,7300762
2025-02-16,morpho-blue,GTEUSDC,Ethereum,11.3474,7288206
2025-02-17,morpho-blue,GTEUSDC,Ethereum,11.39519,7297423
2025-02-18,morpho-blue,GTEUSDC,Ethereum,12.012,6783980
2025-02-19,morpho-blue,GTEUSDC,Ethereum,11.59349,7183558
2025-02-20,morpho-blue,GTEUSDC,Ethereum,12.77428,7183950
2025-02-21,morpho-blue,GTEUSDC,Ethereum,12.63182,7182221
2025-02-22,morpho-blue,GTEUSDC,Ethereum,12.58809,7351040
2025-02-23,morpho-blue,GTEUSDC,Ethereum,12.56396,7340241
2025-02-24,morpho-blue,GTEUSDC,Ethereum,14.13832,6340788
2025-02-25,morpho-blue,GTEUSDC,Ethereum,17.74225,4796945
2025-02-26,morpho-blue,GTEUSDC,Ethereum,17.91691,4788177
2025-02-27,morpho-blue,GTEUSDC,Ethereum,18.11918,4798357
2025-02-28,morpho-blue,GTEUSDC,Ethereum,17.93683,4814219
2025-03-01,morpho-blue,GTEUSDC,Ethereum,16.15964,5369108
2025-03-02,morpho-blue,GTEUSDC,Ethereum,17.48856,4965456
2025-03-03,morpho-blue,GTEUSDC,Ethereum,13.16382,6610799
2025-03-04,morpho-blue,GTEUSDC,Ethereum,17.99512,4687920
2025-03-05,morpho-blue,GTEUSDC,Ethereum,13.44855,6360873
2025-03-06,morpho-blue,GTEUSDC,Ethereum,12.08485,6859303
2025-03-07,morpho-blue,DUPLICATEDKEY.USDC,Ethereum,40.19476,23958
2025-03-08,morpho-blue,GTEUSDC,Ethereum,10.27056,8516662
2025-03-09,morpho-blue,GTEUSDC,Ethereum,10.50213,8170838
2025-03-10,morpho-blue,GTEUSDC,Ethereum,11.17506,7573977
2025-03-11,morpho-blue,GTEUSDC,Ethereum,10.50662,8164736
2025-03-12,morpho-blue,GTEUSDC,Ethereum,10.54949,8164279
2025-03-13,morpho-blue,GTEUSDC,Ethereum,10.52795,8166515
2025-03-14,morpho-blue,STEAKUSDCRWA,Base,23.41594,379513
2025-03-15,morpho-blue,STEAKUSDCRWA,Base,23.41594,379513
2025-03-16,morpho-blue,STEAKUSDCRWA,Base,23.4162,379513
2025-03-17,morpho-blue,GTEUSDC,Ethereum,10.75626,7999534
2025-03-18,morpho-blue,GTEUSDC,Ethereum,10.63261,8085012
2025-03-19,fluid-lending,USDT,Polygon,11.11,10876775
2025-03-20,fluid-lending,USDT,Polygon,10.84,10645453
2025-03-21,fluid-lending,USDT,Polygon,10.93,10330583
2025-03-22,fluid-lending,USDT,Polygon,11.5,9994962
2025-03-23,fluid-lending,USDT,Polygon,11.04,10517666
2025-03-24,fluid-lending,USDT,Polygon,12.31,9775731
2025-03-25,fluid-lending,USDT,Polygon,12.04,10436589
2025-03-26,fluid-lending,USDT,Polygon,11.78,10903241
2025-03-27,fluid-lending,USDT,Polygon,11.31,11280691
2025-03-28,fluid-lending,USDT,Polygon,9.26,12595721
2025-03-29,morpho-blue,GTEUSDC,Ethereum,9.00627,8716189
2025-03-30,fluid-lending,USDT,Polygon,8.98,12465785
2025-03-31,morpho-blue,GTEUSDC,Ethereum,8.9427,8719703
2025-04-01,fluid-lending,USDT,Polygon,8.96,12320973
2025-04-02,fluid-lending,USDT,Polygon,9.49,11976514
2025-04-03,fluid-lending,USDT,Polygon,8.87,11739440
2025-04-04,fluid-lending,USDT,Polygon,8.99,11621987
2025-04-05,fluid-lending,USDT,Polygon,8.57,11992445
2025-04-06,fluid-lending,USDT,Polygon,7.68,12098539
2025-04-07,fluid-lending,USDT,Polygon,8.46,11350332
2025-04-08,morpho-blue,GTEUSDC,Ethereum,8.23253,9408697
2025-04-09,morpho-blue,GTEUSDC,Ethereum,8.7599,8917965
2025-04-10,fluid-lending,USDT,Polygon,9.38,11807679
2025-04-11,morpho-blue,GTEUSDC,Ethereum,9.57703,8034596
2025-04-12,morpho-blue,GTEUSDC,Ethereum,9.30683,8332086
2025-04-13,morpho-blue,GTEUSDC,Ethereum,9.35641,8215143
2025-04-14,morpho-blue,GTEUSDC,Ethereum,9.41668,8168078
2025-04-15,morpho-blue,GTEUSDC,Ethereum,8.97514,8518708
2025-04-16,morpho-blue,AUSDC,Base,34.67417,31786
2025-04-17,morpho-blue,AUSDC,Base,18.14567,31788
2025-04-18,morpho-blue,AUSDC,Base,15.9367,31795
2025-04-19,morpho-blue,AUSDC,Base,15.77724,31797
2025-04-20,morpho-blue,AUSDC,Base,15.89151,31802
2025-04-21,morpho-blue,AUSDC,Base,14.49031,31808
2025-04-22,morpho-blue,FXUSDC,Ethereum,16.14419,248069
2025-04-23,morpho-blue,AUSDC,Base,21.70619,31813
2025-04-24,morpho-blue,AUSDC,Base,15.19534,31819
2025-04-25,morpho-blue,PRUDENTUSDC,Base,16.48565,80002
2025-04-26,morpho-blue,PRUDENTUSDC,Base,18.94086,80003
2025-04-27,morpho-blue,PRUDENTUSDC,Base,15.13971,150003
2025-04-28,morpho-blue,PRUDENTUSDC,Base,16.70118,150025
2025-04-29,morpho-blue,PRUDENTUSDC,Base,21.5005,150010
2025-04-30,morpho-blue,PRUDENTUSDC,Base,22.70297,150014
2025-05-01,morpho-blue,PRUDENTUSDC,Base,27.11368,202040
2025-05-02,morpho-blue,PRUDENTUSDC,Base,23.65732,225803
2025-05-03,morpho-blue,PRUDENTUSDC,Base,23.72353,225813
2025-05-04,morpho-blue,PRUDENTUSDC,Base,23.11909,225820
2025-05-05,morpho-blue,PRUDENTUSDC,Base,22.58999,231438
2025-05-06,morpho-blue,PRUDENTUSDC,Base,24.1146,232623
2025-05-07,morpho-blue,PRUDENTUSDC,Base,25.76333,265685
2025-05-08,morpho-blue,PRUDENTUSDC,Base,24.1775,307625
2025-05-09,morpho-blue,PRUDENTUSDC,Base,27.15917,307625
2025-05-10,morpho-blue,PRUDENTUSDC,Base,26.89338,307623
2025-05-11,morpho-blue,PRUDENTUSDC,Base,27.24696,307639
2025-05-12,morpho-blue,PRUDENTUSDC,Base,25.99114,307667
2025-05-13,morpho-blue,PRUDENTUSDC,Base,24.68472,307686
2025-05-14,morpho-blue,PRUDENTUSDC,Base,27.30635,307676
2025-05-15,morpho-blue,PRUDENTUSDC,Base,26.29286,307673
2025-05-16,morpho-blue,PRUDENTUSDC,Base,25.90102,307672
2025-05-17,morpho-blue,PRUDENTUSDC,Base,25.23082,307674
2025-05-18,fluid-lending,USDT,Polygon,7.52,17313086
2025-05-19,morpho-blue,PRUDENTUSDC,Base,23.69732,307808
2025-05-20,morpho-blue,PRUDENTUSDC,Base,23.18942,307727
2025-05-21,morpho-blue,PRUDENTUSDC,Base,22.80313,307720
2025-05-22,morpho-blue,PRUDENTUSDC,Base,21.92179,307774
2025-05-23,morpho-blue,PRUDENTUSDC,Base,20.6762,307779
2025-05-24,morpho-blue,PRUDENTUSDC,Base,21.94609,307809
2025-05-25,morpho-blue,PRUDENTUSDC,Base,24.44266,307758
2025-05-26,morpho-blue,PRUDENTUSDC,Base,24.63562,307766
2025-05-27,morpho-blue,PRUDENTUSDC,Base,25.53572,307747
2025-05-28,morpho-blue,PRUDENTUSDC,Base,22.9004,307756
2025-05-29,morpho-blue,PRUDENTUSDC,Base,23.29648,307770
2025-05-30,morpho-blue,PRUDENTUSDC,Base,22.6911,307780
2025-05-31,morpho-blue,PRUDENTUSDC,Base,21.95508,307796
2025-06-01,morpho-blue,PRUDENTUSDC,Base,21.82726,307817
2025-06-02,morpho-blue,PRUDENTUSDC,Base,21.70594,307786
2025-06-03,morpho-blue,PRUDENTUSDC,Base,21.83653,307803
2025-06-04,morpho-blue,PRUDENTUSDC,Base,21.90362,307810
